Ensembl,TOM.similarity.measure,Name,gene_biotype,treated.cebpg.vs.rosa26_logFC,treated.cebpg.vs.rosa26_logCPM,treated.cebpg.vs.rosa26_adjusted.pvalue
ENSMUSG00000024666.7,0.143081120459477,Tmem138,protein_coding,0.207375342599309,3.20542787522645,0.468134608755026
ENSMUSG00000026889.13,0.142944897771391,Rbm18,protein_coding,0.0831486385278075,4.91621713405648,0.449446419894737
ENSMUSG00000039294.15,0.141604227140143,Cybc1,protein_coding,0.12745036566113,5.92453441060582,0.265467775833517
ENSMUSG00000021000.18,0.141332468612553,Mia2,protein_coding,-0.290832502331827,7.16572923499855,0.000380999980987122
ENSMUSG00000026102.10,0.141331636895121,Inpp1,protein_coding,0.21790912896716,5.48326110091246,0.0219977498768291
ENSMUSG00000028857.17,0.141102060229406,Tmem222,protein_coding,0.0358243122129017,5.55112009012139,0.830269248074845
ENSMUSG00000029578.16,0.138162000139644,Wipi2,protein_coding,0.0100976449359854,6.04761199338788,0.947086318640139
ENSMUSG00000062345.11,0.137786485271516,Serpinb2,protein_coding,NA,NA,NA
ENSMUSG00000030717.10,0.136775015915627,Nupr1,protein_coding,-0.276565801696781,0.153996896861684,0.604435366537236
ENSMUSG00000028793.16,0.136359049761839,Rnf19b,protein_coding,0.0718316329333203,7.46336406380377,0.548894810039793
ENSMUSG00000027944.14,0.13628916315783,Hax1,protein_coding,-0.742049401377819,5.63168734408316,5.84399741624736e-05
ENSMUSG00000021519.12,0.136098328473141,Mterf3,protein_coding,0.155719062234985,5.14200872889256,0.290966083876495
ENSMUSG00000022159.17,0.133481406331871,Rab2b,protein_coding,0.130168069346846,3.93634219423015,0.423179353728953
ENSMUSG00000024587.11,0.132258880482893,Nars1,protein_coding,-0.684767908665923,7.76128521486593,1.17466614640607e-06
ENSMUSG00000023952.14,0.131703722743569,Gtpbp2,protein_coding,-0.686840322623504,7.17861038274343,3.94701379031304e-08
ENSMUSG00000024668.9,0.131356921466632,Sdhaf2,protein_coding,-0.00665628351343302,5.62420498482524,0.967322819054973
ENSMUSG00000017418.15,0.129291760777033,Arl5b,protein_coding,0.335924133810865,4.56696534579991,0.0290479339456459
ENSMUSG00000024431.16,0.129021521525985,Nr3c1,protein_coding,0.0259075306953577,6.76978963698991,0.790328801453157
ENSMUSG00000002550.17,0.128980644445509,Uck1,protein_coding,0.0131383521523455,5.78627310310674,0.952780967397948
ENSMUSG00000097772.9,0.128729205211739,5430416N02Rik,lncRNA,0.541712783116869,4.95054734178899,0.00183681415650714
ENSMUSG00000053091.17,0.128404059180205,Lins1,protein_coding,0.00749159282472384,4.14104875310708,0.967805850047226
ENSMUSG00000036934.10,0.128397969750243,4921524J17Rik,protein_coding,0.290776262048276,3.99528211893602,0.0987570504829339
ENSMUSG00000030930.15,0.128298835982114,Chst15,protein_coding,0.483852832002313,2.76571658508091,0.0709558752674207
ENSMUSG00000040822.8,0.127921282633088,1700123O20Rik,protein_coding,0.0622207996745435,5.01463271197802,0.773470345431332
ENSMUSG00000024924.15,0.127226184037576,Vldlr,protein_coding,-1.90764759222133,-0.604042212404799,0.012386311378375
ENSMUSG00000027122.16,0.125289219927042,Arl14ep,protein_coding,-0.490688077981206,5.43506157454358,3.87169455875794e-05
ENSMUSG00000036432.9,0.125031382422068,Siah2,protein_coding,-0.569405705539022,4.3895549680264,0.00153668885301852
ENSMUSG00000028291.8,0.123715301693243,Akirin2,protein_coding,0.0892444265819472,5.5134285105096,0.381109794270109
ENSMUSG00000031513.9,0.123338358576558,Leprotl1,protein_coding,-0.0834226839560503,7.08174661616863,0.482148889484932
ENSMUSG00000000078.8,0.123251476317926,Klf6,protein_coding,-0.103366746684282,7.41888369524804,0.239408305195037
ENSMUSG00000042215.9,0.123123891771276,Bag2,protein_coding,-0.439637319738993,3.82812797934526,0.0221967773370179
ENSMUSG00000002210.12,0.122011948327779,Smg9,protein_coding,0.120097759662444,5.82186782549727,0.223719920175028
ENSMUSG00000056941.18,0.1217069408793,Commd7,protein_coding,0.157340520546945,5.79263603823504,0.181512828104441
ENSMUSG00000028893.9,0.121062469885714,Sesn2,protein_coding,-0.851681778320372,5.1898705092139,3.24326006639565e-06
ENSMUSG00000039157.13,0.121034252489182,Eeig1,protein_coding,0.145421042417742,8.31239726923582,0.0609679032325397
ENSMUSG00000020974.7,0.120598698114457,Pole2,protein_coding,-0.290888034422424,4.86777125354262,0.0100887414261404
ENSMUSG00000003198.11,0.12054977260371,Zfp959,protein_coding,0.127557895698839,3.55669718105034,0.524288113048729
ENSMUSG00000025139.15,0.120466314234889,Tollip,protein_coding,0.0526457624517346,6.07115210163965,0.659617053668134
ENSMUSG00000020530.15,0.120172352301337,Ggnbp2,protein_coding,0.0181011612071107,7.4191790737836,0.846888765254005
ENSMUSG00000025383.3,0.119993382998695,Il23a,protein_coding,NA,NA,NA
ENSMUSG00000025235.9,0.119832524268147,Bbs4,protein_coding,0.197151397431217,2.86744274728063,0.406536792804243
ENSMUSG00000023004.9,0.119456718848954,Tuba1b,protein_coding,-0.843268320860551,9.50152983167648,0.000769721002393195
ENSMUSG00000015312.10,0.118858867100757,Gadd45b,protein_coding,0.618959205084288,3.47886116081646,0.0106770501118254
ENSMUSG00000006235.7,0.118653325400908,Epor,protein_coding,NA,NA,NA
ENSMUSG00000028362.3,0.11833400694673,Tnfsf8,protein_coding,0.347436847806602,7.59751822779765,0.000560523936604788
ENSMUSG00000038059.8,0.118121793804698,Smim3,protein_coding,0.361376010370653,3.82204093032721,0.0398209014517617
ENSMUSG00000022241.7,0.117728000074072,Tars1,protein_coding,-0.512182276068038,7.22815881135538,9.41613386407574e-06
ENSMUSG00000038544.15,0.117257576590515,Inip,protein_coding,0.0639255281946222,5.43668513544951,0.555060523117875
ENSMUSG00000095918.8,0.117188078067359,Gm5861,protein_coding,NA,NA,NA
ENSMUSG00000027357.17,0.116430342859235,Crls1,protein_coding,-0.298094625510608,4.98843537831666,0.181354300758046
ENSMUSG00000044066.15,0.116232007081161,Cep68,protein_coding,0.07080889665689,6.17277950816339,0.497731812972817
ENSMUSG00000039770.7,0.116138893344551,Ypel5,protein_coding,0.355253904991799,4.98869700562061,0.0249357712640824
ENSMUSG00000031297.15,0.116104680352317,Slc7a3,protein_coding,-1.48956593109648,1.98813381931224,0.000145541382565135
ENSMUSG00000028557.11,0.116058342314734,Rnf11,protein_coding,-0.0668545403890488,4.88534022081866,0.624508161005719
ENSMUSG00000053398.12,0.114934104174325,Phgdh,protein_coding,-0.745980101009407,8.77954637795916,6.88088057877733e-05
ENSMUSG00000041671.14,0.113979426567152,Pyroxd1,protein_coding,0.174640140468164,4.04557614991639,0.250970105631358
ENSMUSG00000025007.14,0.112806117251047,Aldh18a1,protein_coding,-0.704836081525297,7.23958507179829,1.63122421668329e-06
ENSMUSG00000035356.18,0.112711676665134,Nfkbiz,protein_coding,0.285513370001423,5.68993907112968,0.127724218655123
ENSMUSG00000064145.13,0.112535005302714,Arih2,protein_coding,0.236023406969332,6.60197531315084,0.0285384907453858
ENSMUSG00000086965.2,0.11232024001305,NA,NA,-0.0865432406349347,1.54583005877874,0.830269248074845
ENSMUSG00000049539.4,0.111954009032223,H1f1,protein_coding,1.55750368388498,0.448536975048438,0.106580246247617
ENSMUSG00000039206.14,0.111625801023029,Daglb,protein_coding,-0.0510564354269965,3.36315386136132,0.825047621177222
ENSMUSG00000026663.7,0.110844591906177,Atf6,protein_coding,0.0118550534923264,4.99704911926472,0.940561861998778
ENSMUSG00000005718.9,0.110373970651933,Tfap4,protein_coding,0.031428800692652,5.30456951949209,0.86264347096133
ENSMUSG00000022365.7,0.10900289607736,Derl1,protein_coding,-0.27103582361603,6.25843773910329,0.00387649769497657
ENSMUSG00000031803.9,0.107919487095896,B3gnt3,protein_coding,-0.24421087469235,2.98240757115491,0.350052380564935
ENSMUSG00000002325.16,0.107471067609455,Irf9,protein_coding,0.179954187698349,6.08969371693852,0.15595170510998
ENSMUSG00000028542.18,0.107084352626091,Slc6a9,protein_coding,-1.80889481200512,3.10996242731362,2.15512979096561e-07
ENSMUSG00000031960.15,0.107019069607591,Aars1,protein_coding,-0.73032506127984,7.93933750536492,3.88367850179614e-07
ENSMUSG00000069844.13,0.106977598363791,Sco1,protein_coding,-0.075280693388927,4.52926567084482,0.630338797008571
ENSMUSG00000029438.10,0.106803705374227,Bcl7a,protein_coding,-0.184806860114796,4.84180026365319,0.201434578310509
ENSMUSG00000037071.4,0.106617766671196,Scd1,protein_coding,-0.057067517427193,1.61987144584179,0.930356237639374
ENSMUSG00000020183.12,0.10642183232084,Cpm,protein_coding,0.0681691707702628,2.00153984250075,0.874853069806396
ENSMUSG00000029060.18,0.105820069837027,Mib2,protein_coding,-0.313333114274326,4.39473188683293,0.0527710339638586
ENSMUSG00000017493.13,0.105746342003307,Igfbp4,protein_coding,0.00889209310267369,8.40230284709122,0.957039932372153
ENSMUSG00000047415.13,0.105744525662252,Gpr68,protein_coding,0.693255266188431,6.45613108207216,2.64065933097585e-07
ENSMUSG00000025408.16,0.104781162799734,Ddit3,protein_coding,-0.427767592299594,4.54089159970769,0.106397208994115
ENSMUSG00000032252.15,0.10421621078373,Glce,protein_coding,0.170971442014168,3.60615726392864,0.263028242514689
ENSMUSG00000022351.15,0.104176332813172,Sqle,protein_coding,-0.797862714026362,6.01198240759712,1.71732580516524e-05
ENSMUSG00000079138.4,0.103892960853327,Gm8818,processed_pseudogene,NA,NA,NA
ENSMUSG00000022515.7,0.103732666056756,Anks3,protein_coding,0.390233645309677,4.98597803881191,0.00108530914110371
ENSMUSG00000034354.18,0.103425521909989,NA,NA,0.122453049297934,7.78591381655495,0.128224181523967
ENSMUSG00000040435.13,0.103234449163251,Ppp1r15a,protein_coding,-0.775780606782114,3.70603123694513,0.00172805748238735
ENSMUSG00000039156.20,0.103160351396849,Stim2,protein_coding,-0.0417336624482546,6.06585884700652,0.701021654757983
ENSMUSG00000025190.14,0.102248298942969,Got1,protein_coding,-0.812030419477998,5.96436929076112,3.15521375806866e-07
ENSMUSG00000025498.16,0.101648391001303,Irf7,protein_coding,-0.0365925430124495,3.93693246417875,0.897112696163477
ENSMUSG00000033808.17,0.101085803450746,Tmem87a,protein_coding,0.251826194748917,6.22944463281198,0.0261860008582488
ENSMUSG00000032840.8,0.100661215554969,Spring1,protein_coding,0.142119040300039,4.13381969578839,0.369452003780565
ENSMUSG00000067365.12,0.100372776138598,Tmem128,protein_coding,0.0330681182377476,5.46553812651057,0.880717420492973
ENSMUSG00000001473.8,0.0992297292295893,Tubb6,protein_coding,-0.938371677670013,3.06852208066953,0.00136471560872534
ENSMUSG00000046999.3,0.0988847828586782,1110032F04Rik,protein_coding,0.253044017737195,4.67627180537872,0.158499762123082
ENSMUSG00000031723.9,0.098864174455332,Txnl4b,protein_coding,0.0928741110238744,3.34998571686496,0.748962656147213
ENSMUSG00000042608.16,0.0985441395575976,Stk40,protein_coding,-0.450869358915871,6.22562192216805,0.000392832722402082
ENSMUSG00000112980.3,0.0984102098874932,D430020J02Rik,lncRNA,-0.245583342326346,3.162009774422,0.246010736485268
ENSMUSG00000108414.3,0.0983871713663561,Snhg1,lncRNA,0.498689635336706,7.47553754005063,0.0731935538570615
ENSMUSG00000039197.11,0.0981563569534442,Adk,protein_coding,-0.444826367940047,5.15859377549776,0.00462839837805265
ENSMUSG00000031490.7,0.0981396880344002,Eif4ebp1,protein_coding,-1.04589702695062,5.14577528148233,4.97578122696569e-07
ENSMUSG00000020107.11,0.0978306334077012,Anapc16,protein_coding,0.175965966476573,6.21592211909947,0.144172610478617
ENSMUSG00000075031.5,0.0974855290867484,H2bc3,protein_coding,-0.185694790325874,0.457663460650392,0.838297368871159
ENSMUSG00000038172.15,0.0973958711549115,Ttc39b,protein_coding,0.119841884267781,8.08810620115622,0.33299447467033
ENSMUSG00000028945.10,0.0973473863111347,Rheb,protein_coding,-0.0949451056181193,6.18837867702169,0.335810540942361
ENSMUSG00000086290.11,0.0970486391857473,Snhg12,lncRNA,0.479664111932844,6.84947267480471,0.0115906983239959
ENSMUSG00000033538.14,0.0967360540645479,Casp4,protein_coding,0.113302486999159,2.22040893980727,0.704489829395234
ENSMUSG00000002699.14,0.0961674727815256,Lcp2,protein_coding,0.0277984565566807,7.12723730652595,0.764961893059187
ENSMUSG00000052102.16,0.0960520289737552,Gnpda1,protein_coding,-0.162137457583611,5.38519962823146,0.207266591934001
ENSMUSG00000027456.9,0.0950719376042871,Sdcbp2,protein_coding,0.267643354016639,1.6888375640649,0.583315741541815
ENSMUSG00000028480.15,0.0948911366653904,Glipr2,protein_coding,-0.121001334918355,8.54475131398759,0.459277463280979
ENSMUSG00000029722.16,0.0937533403533058,Agfg2,protein_coding,-0.442125837766095,5.21159767770649,0.00155414548353162
ENSMUSG00000020303.3,0.093716216905722,Stc2,protein_coding,-0.666104457423741,2.54721516556996,0.00689046032812135
ENSMUSG00000030802.15,0.0936478160644166,Bckdk,protein_coding,-0.59079122421175,5.47878242619894,0.000228472273968566
ENSMUSG00000039531.9,0.0935935169638824,Zup1,protein_coding,0.492004863587111,5.3272883036526,0.0656844298345854
ENSMUSG00000031202.6,0.0933745328914135,Rab39b,protein_coding,-0.303611016568004,1.95349992511931,0.376823158184651
ENSMUSG00000010067.14,0.093327169238579,Rassf1,protein_coding,0.155197854743021,6.38111608906093,0.0697084920203276
ENSMUSG00000079179.11,0.0931411343588337,Rab10os,lncRNA,0.203803641559402,4.86961935454055,0.0673352774918775
ENSMUSG00000044641.8,0.0927647775134838,Pard6b,protein_coding,0.295327194035858,1.55205894322396,0.575365954384649
ENSMUSG00000102644.7,0.0924711034963216,NA,NA,0.176294755632696,3.67000969722462,0.31452281017305
ENSMUSG00000018446.9,0.0921871458201297,C1qbp,protein_coding,-0.495934885873155,7.56909191678878,0.00161338526262421
ENSMUSG00000030061.17,0.091779783818,Uba3,protein_coding,-0.103407605249692,5.78956298062811,0.404339347665169
ENSMUSG00000036390.9,0.0917788585910155,Gadd45a,protein_coding,-0.49516313707794,0.759977069576698,0.313030622571265
ENSMUSG00000019301.6,0.0911017028753453,Hsd17b1,protein_coding,NA,NA,NA
ENSMUSG00000021302.11,0.0910368156411089,Ggps1,protein_coding,0.0725809239799979,5.52599877284948,0.599238021398151
ENSMUSG00000025939.20,0.0909020171828418,Ube2w,protein_coding,-0.126642207051302,4.42340064235553,0.462262636091098
ENSMUSG00000024640.10,0.090741474292958,Psat1,protein_coding,-1.17781743582406,7.76338284448631,1.79582317634103e-09
ENSMUSG00000031756.6,0.0905422928732366,Cenpn,protein_coding,-0.701039633103315,4.61783525620707,1.64092228580167e-05
ENSMUSG00000020156.17,0.0901072228485848,Pwwp3a,protein_coding,-0.449127611073347,5.63317283947159,0.000380999980987122
ENSMUSG00000024165.10,0.0896701233239087,Jpt2,protein_coding,-0.47420314035997,5.72770052834332,0.000226593941706513
ENSMUSG00000068267.6,0.0891333366966263,Cenpb,protein_coding,-0.319085272096616,6.8068898320252,0.0569320465757208
ENSMUSG00000029201.15,0.0889311323090315,Ugdh,protein_coding,-0.137925249276934,5.24802837103893,0.284184898698231
ENSMUSG00000112023.2,0.0886392713739084,Lilrb4b,protein_coding,-0.208887554617755,4.41342330361127,0.0579246223322686
ENSMUSG00000042178.7,0.0885804026341435,Armc5,protein_coding,-0.0127570042504912,4.79521389224153,0.924269628440256
ENSMUSG00000004266.16,0.0884457312979934,Ptpn6,protein_coding,-0.409792657080727,7.60558267174189,0.000731481481954221
ENSMUSG00000044702.14,0.0884306622440526,Palb2,protein_coding,-0.270715593975142,4.57356434166256,0.126900589369286
ENSMUSG00000031485.16,0.087778781811629,Plpbp,protein_coding,0.00416134218258974,5.43229411847136,0.9664680723009
ENSMUSG00000020592.15,0.0877651512155172,NA,NA,-1.34470386238006,-0.0497406915630506,0.135723646120004
ENSMUSG00000032262.14,0.0875807288933269,Elovl4,protein_coding,NA,NA,NA
ENSMUSG00000054293.11,0.0875676149082437,P2ry10b,protein_coding,0.0565342287157205,3.18349720784162,0.806017347030522
ENSMUSG00000029229.9,0.0874712716374298,Chic2,protein_coding,0.109824423758748,6.05931315640498,0.43326095459088
ENSMUSG00000023980.8,0.0873291426317776,Taf8,protein_coding,0.00860704009968071,5.29302651148295,0.95416544445116
ENSMUSG00000052271.8,0.0872354101213878,Bhlha15,protein_coding,NA,NA,NA
ENSMUSG00000032199.14,0.0869200439037981,Polr2m,protein_coding,-0.0846717212357214,7.42258782295689,0.592381016830483
ENSMUSG00000028807.3,0.0867660512391338,Zbtb8a,protein_coding,-0.352444144589289,2.9651071426922,0.151137569258497
ENSMUSG00000032913.14,0.0867518250715389,Lrig2,protein_coding,0.243195401376137,4.5560616198865,0.208764284234657
ENSMUSG00000037251.6,0.0866423876589286,Pomk,protein_coding,-0.230447039189009,3.0550387809923,0.277271772998883
ENSMUSG00000027293.14,0.086525437008272,Ehd4,protein_coding,-0.558958687400183,4.77453610548422,0.000981672983900828
ENSMUSG00000025138.15,0.0863824288649757,Sirt7,protein_coding,0.0274902304214302,6.53373340338717,0.85770592678015
ENSMUSG00000048707.10,0.0859851619373063,Tprn,protein_coding,-0.3355223732117,4.54703593783086,0.0481497402803577
ENSMUSG00000098715.7,0.085820268433013,Gm28053,protein_coding,0.47177040702474,2.28269692784334,0.0651619641375762
ENSMUSG00000090582.2,0.0857627904916463,Gm17024,lncRNA,0.113983157133975,0.901190360233186,0.862230978699144
ENSMUSG00000022462.8,0.0857188998867732,Slc38a2,protein_coding,-0.23608214237037,8.04175882657264,0.0063586820466067
ENSMUSG00000000489.8,0.085638024458227,Pdgfb,protein_coding,0.60144070825378,1.79672489508573,0.158501117248936
ENSMUSG00000017802.15,0.0851647283004337,Retreg3,protein_coding,0.12604202447932,6.44546184449719,0.291282131371129
ENSMUSG00000026429.10,0.085090297387322,Ube2t,protein_coding,-0.325598021874308,4.02081069730462,0.0979775278256274
ENSMUSG00000047180.9,0.0849961145674606,Neurl3,protein_coding,0.262646300700783,7.38898214395643,0.0215667801255351
ENSMUSG00000024283.16,0.0849542277127042,Wac,protein_coding,0.0663030337067657,7.03512713122608,0.43948790917426
ENSMUSG00000031015.9,0.0849479619791056,Swap70,protein_coding,-0.307443742970126,3.17549575534527,0.179632113223144
ENSMUSG00000036501.8,0.0847135927129888,Fam13b,protein_coding,0.103033782818234,6.4049323221084,0.488830645063731
ENSMUSG00000033658.17,0.0844267889983131,Ddx19b,protein_coding,0.0574926248994475,6.28722930902345,0.502782047881395
ENSMUSG00000079003.4,0.0839904866727287,Samd1,protein_coding,-0.640258482235105,5.09093516846716,0.0022420401626532
ENSMUSG00000032715.10,0.0838178250495917,Trib3,protein_coding,-2.03766949207691,6.747713310649,5.89243434315688e-10
ENSMUSG00000104876.2,0.0833942688492471,Trdc,TR_C_gene,-0.294438070286911,6.94922239897244,0.000387357310538481
ENSMUSG00000038215.16,0.0833907138654515,Cep44,protein_coding,-0.0214875524501543,4.62687625242209,0.872311888322323
ENSMUSG00000028191.12,0.0832284196446707,Bcl10,protein_coding,-0.0950704826665077,5.34117564493933,0.578662855558899
ENSMUSG00000016946.7,0.0831575760796444,Kctd5,protein_coding,-0.0446708505558465,5.44693517959085,0.730833881275324
ENSMUSG00000055723.7,0.0829675966308966,Rras2,protein_coding,-0.0866328579950263,7.7952555962413,0.591735855579806
ENSMUSG00000034220.8,0.0828672808247467,Gpc1,protein_coding,-0.382839851812479,4.39705004868595,0.0384342143684872
ENSMUSG00000031105.17,0.0826746176964452,Slc25a14,protein_coding,0.0885053086421589,2.4100460258489,0.808703468207067
ENSMUSG00000017677.12,0.0826167844016818,Wsb1,protein_coding,0.0211283371866966,6.27439986036971,0.857340892261879
ENSMUSG00000090523.3,0.0825365712464751,Gypc,protein_coding,0.151681129500068,4.54942756448032,0.175840038900353
ENSMUSG00000072494.8,0.0824907789019014,Ppp1r3e,protein_coding,-0.282626409667269,3.87726550823059,0.110603768771065
ENSMUSG00000046269.18,0.0824474298854058,Usp27x,protein_coding,-0.614443383938933,2.71944559045922,0.024135648688425
ENSMUSG00000029777.11,0.0822742735258599,Gars1,protein_coding,-0.75887398639298,7.98568250606581,2.04451237025804e-06
ENSMUSG00000087174.9,0.0821996770388779,5530601H04Rik,lncRNA,0.422045221502392,3.67656385985301,0.0138399870028687
ENSMUSG00000059820.15,0.0821691917548771,Nkapd1,protein_coding,0.0347038782079676,5.61940723612602,0.729677196889441
ENSMUSG00000055725.12,0.0820090983654433,Paqr3,protein_coding,-0.00178641187602038,1.39072868017172,0.996903793332583
ENSMUSG00000047989.12,0.0816908124306808,Ino80c,protein_coding,0.0652431218170577,5.5388954214128,0.664247267201519
ENSMUSG00000000194.14,0.0814982777907748,Gpr107,protein_coding,0.310018333716015,5.26093333714358,0.00967020717419498
ENSMUSG00000056498.14,0.0814009128606286,Tmem154,protein_coding,-0.341236718713424,3.74096922558003,0.101155812551348
ENSMUSG00000024826.16,0.0813078941209386,Dpf2,protein_coding,-0.00946331104539228,6.535020893703,0.934952838090251
ENSMUSG00000034484.9,0.0807429626642623,Snx2,protein_coding,-0.229729358494921,6.22487953902425,0.0260994906974496
ENSMUSG00000054387.14,0.0804331667478208,Mdm4,protein_coding,0.262048678521375,8.4647661544753,0.128500549200288
ENSMUSG00000032905.6,0.0803152476358826,Atg12,protein_coding,0.34077031715346,5.4992371501009,0.00743035673366673
ENSMUSG00000051329.14,0.0803117065693612,Nup160,protein_coding,-0.341125230075031,6.81898601911214,7.54749147041408e-05
ENSMUSG00000038619.13,0.0802438520400091,Ensa,protein_coding,-0.0677377404729383,6.79565897302658,0.716998482381668
ENSMUSG00000024186.16,0.0799393025524195,Rgs11,protein_coding,-0.186267345291505,4.61511254189947,0.132782574521913
ENSMUSG00000029817.12,0.0798765044949949,Tra2a,protein_coding,0.101763624185923,7.13894101992657,0.32267069933305
ENSMUSG00000024293.17,0.0798499590470789,Esco1,protein_coding,0.250391563449486,5.92236332470735,0.0591150369419491
ENSMUSG00000022200.9,0.0796320976432484,Golph3,protein_coding,-0.0432462061856947,6.77428371976898,0.761740174936486
ENSMUSG00000021120.12,0.0795579694322329,Pigh,protein_coding,-0.0447937418869003,3.43834636264849,0.862678462653991
ENSMUSG00000028708.17,0.0794756027882672,Mknk1,protein_coding,-0.00154907257140552,5.30248856657677,0.988807569224909
ENSMUSG00000052565.8,0.0790157275307512,H1f3,protein_coding,0.672637735590497,2.50523280965558,0.154210131774432
ENSMUSG00000028700.15,0.0790074356806779,Pomgnt1,protein_coding,-0.258711485767737,4.64205027314678,0.059859370447414
ENSMUSG00000095217.2,0.0787986005769209,H2bc15,protein_coding,0.696103845159735,0.596378849166216,0.446938615661623
ENSMUSG00000010453.13,0.0784102831255278,Kansl3,protein_coding,0.0965424796380851,6.73552822523155,0.254755213743504
ENSMUSG00000035173.15,0.0782447712807376,Ccdc186,protein_coding,0.250760255325405,4.73118696585566,0.0581047649715278
